Markdown,Unicode,
:bowtie:,U+1F60A,
:blush:,U+1F60F,
:smirk:,U+1F61A,
:kissing_closed_eyes:,U+1F606,
:satisfied:,U+1F61C,
:stuck_out_tongue_winking_eye:,U+1F617,
:kissing:,U+1F634,
:sleeping:,U+1F627,
:anguished:,U+1F615,
:confused:,U+1F612,
:unamused:,U+1F625,
:disappointed_relieved:,U+1F61E,
:disappointed:,U+1F630,
:cold_sweat:,U+1F62D,
:sob:,U+1F631,
:scream:,U+1F620,
:angry:,U+1F62A,
:sleepy:,U+1F60E,
:sunglasses:,U+1F608,
:smiling_imp:,U+1F607,
:innocent:,U+1F499,
:blue_heart:,U+1F49A,
:green_heart:,U+1F497,
:heartpulse:,U+1F498,
:cupid:,U+2B50,
:star:,U+1F4A5,
:boom:,U+2757,
:exclamation:,U+2754,
:grey_question:,U+1F4A6,
:sweat_drops:,U+1F525,
:fire:,U+1F4A9,
:shit:,U+1F44E,
:-1:,U+1F44A,
:punch:,U+270C,
:v:,U+270B,
:raised_hand:,U+1F447,
:point_down:,U+1F64C,
:raised_hands:,U+1F44F,
:clap:,U+1F595,
:fu:,U+1F3C3,
:running:,U+1F46C,
:two_men_holding_hands:,U+1F46F,
:dancers:,U+1F481,
:information_desk_person:,#N/A,
:person_with_pouting_face:,U+1F48F,
:couplekiss:,U+1F487,
:haircut:,U+1F467,
:girl:,U+1F476,
:baby:,#N/A,
:person_with_blond_hair:,U+1F477,
:construction_worker:,U+1F478,
:princess:,U+1F63B,
:heart_eyes_cat:,U+1F640,
:scream_cat:,U+1F63E,
:pouting_cat:,U+1F648,
:see_no_evil:,U+1F482 U+200D U+2642 U+FE0F,
:guardsman:,U+1F444,
:lips:,U+1F442,
:ear:,U+1F445,
:tongue:,U+1F465,
:busts_in_silhouette:,#N/A,
:feelsgood:,#N/A,
:godmode:,#N/A,
:rage2:,#N/A,
:suspect:,U+2600,
:sunny:,U+2744,
:snowflake:,U+1F300,
:cyclone:,U+1F431,
:cat:,U+1F439,
:hamster:,U+1F438,
:frog:,U+1F43B,
:bear:,U+1F42E,
:cow:,U+1F412,
:monkey:,U+1F42B,
:camel:,U+1F43C,
:panda_face:,U+1F424,
:baby_chick:,U+1F414,
:chicken:,U+1F41B,
:bug:,U+1FAB2,
:beetle:,U+1F420,
:tropical_fish:,U+1F40B,
:whale2:,U+1F40F,
:ram:,U+1F405,
:tiger2:,U+1F410,
:goat:,U+1F416,
:pig2:,U+1F432,
:dragon_face:,U+1F42A,
:dromedary_camel:,U+1F429,
:poodle:,U+1F338,
:cherry_blossom:,U+1F339,
:rose:,U+1F341,
:maple_leaf:,U+1F33F,
:herb:,U+1F334,
:palm_tree:,U+1F330,
:chestnut:,U+1F33E,
:ear_of_rice:,U+1F31E,
:sun_with_face:,U+1F311,
:new_moon:,U+1F314,
:waxing_gibbous_moon:,U+1F317,
:last_quarter_moon:,U+1F31B,
:first_quarter_moon_with_face:,U+1F30E,
:earth_americas:,U+1F30C,
:milky_way:,#N/A,
:squirrel:,U+1F38D,
:bamboo:,U+1F392,
:school_satchel:,U+1F386,
:fireworks:,U+1F391,
:rice_scene:,U+1F385,
:santa:,U+1F514,
:bell:,U+1F389,
:tada:,U+1F52E,
:crystal_ball:,U+1F4BE,
:floppy_disk:,U+1F3A5,
:movie_camera:,U+1F4F1,
:iphone:,U+1F4DE,
:telephone_receiver:,U+1F4BD,
:minidisc:,U+1F508,
:speaker:,U+1F4E3,
:mega:,U+23F0,
:alarm_clock:,U+1F4E1,
:satellite:,U+1F50E,
:mag_right:,U+1F50F,
:lock_with_ink_pen:,U+1F4A1,
:bulb:,U+1F505,
:low_brightness:,U+1F4F2,
:calling:,U+1F4EE,
:postbox:,U+1F6BF,
:shower:,U+1F529,
:nut_and_bolt:,U+1F4B0,
:moneybag:,U+1F4B7,
:pound:,U+1F4B8,
